,line,content
223,223,"                         Aye, we'll get 'em."
224,224,               
225,225, HOUSE - NIGHT
226,226,"               William's face appears at the window, looking toward"
227,227,               THE DISTANT HILLS
228,228,"               of trees and heather, where there is no sign of life."
229,229,               
230,230, THE HOUSE - NIGHT
231,231,"               William has cooked stew in a pot, and now spoons up two "
232,232,               steaming bowls full and sets them out on the table. But he 
233,233,               is only hoping. He looks out the window again; he is still 
234,234,               all alone. So he leaves a candle burning on the table beside 
235,235,"               the stew, and moves up the stairs."
236,236,               
237,237, FARMHOUSE - DAWN
238,238,"               The house is silent, fog rolling around it in the dawn."
239,239,               
240,240, FARMHOUSE - DAWN
241,241,"               William has been awake all night, afraid to sleep. He rises, "
242,242,"               and in QUICK CUTS: he dresses; he moves down the hall, stops "
243,243,               at the door of his father's bedroom and sees the undisturbed 
244,244,"               bed. He moves on, passing the door of his brother's room, "
245,245,               also unrumpled.
246,246,               IN THE KITCHEN
247,247,"               He finds the two cold bowls of stew, beside the exhausted "
248,248,"               candle. He spoons up his own cold porridge, and eats alone."
249,249,               
250,250, HOUSE - DAY
251,251,"               William is in the barn loft, shoveling corn down to feed the "
252,252,"               hogs, while he glimpses something coming."
253,253,               THE BOY'S POV
254,254,               An ox cart is coming down the curving lane. Its driver is 
255,255,"               Campbell, with MacClannough walking behind it. The farmers "
256,256,"               glance up at William, their faces grim..."
257,257,"               From his perch in the loft, William sees that the neighbors "
258,258,               have brought: the bodies of his father and brother. The cart 
259,259,"               stops; Campbell, with a bandage around his left hand where "
260,260,"               more of his fingers are now missing, studies the back of the "
261,261,"               ox, as if it could tell him how to break such news. The butt "
262,262,               of the ox seems to tell him to be matter-of-fact.
263,263,                                     CAMPBELL
264,264,"                         William... Come down here, lad."
265,265,"               William looks away, he takes quick breaths, he looks back... "
266,266,               but the bodies are still there.
267,267,               
268,268, HOUSE - DAY
269,269,"               It's now surrounded by horses, wagons, and neighbors. The "
270,270,               undertaker arrives in his hearse.
271,271,               
272,272, THE SHED - DAY
273,273,               On a table the undertaker has laid out the bodies and is 
274,274,               preparing them. Cloths around the lower jaw and top of the 
275,275,               head bind their mouths shut; pennies cover their eyes.
276,276,"               Softly, William enters the shed, drawn to his father and "
277,277,"               brother. Campbell follows him in, wanting to stop him -- but "
278,278,               what can he say now? The undertaker goes on with his work.
279,279,               William approaches the table; the bodies don't look real to 
280,280,               him. He sees the wounds. The dried blood.
281,281,               The undertake pours water from a bowl and scrubs off the 
282,282,               blood. But the wounds remain.
283,283,               
284,284, GRAVESIDE - DAY
285,285,"               CLOSE on a grave, with a headstone marked ANNE WALLACE. We "
286,286,"               INCLUDE the two new graves freshly dug beside it, and see "
287,287,"               the mourners gathered before them. The sight of the boy, "
288,288,"               standing alone in front of the graves of his dead mother, as "
289,289,               the bodies of his father and brother are lowered with ropes 
290,290,"               into the ground beside her, has all of the neighbors shaken."
291,291,               The local parish PRIEST drones mechanically in Latin.
292,292,               The farmers who were secretly gathered in Malcolm Wallace's 
293,293,               kitchen the previous night are now glancing at William; but 
294,294,"               no one is anxious to adopt a grieving, a rebellious boy."
295,295,               Behind MacClannough are his wife and two daughters; his 
296,296,"               youngest is barely four, not half William's age; she's a "
297,297,"               beautiful girl with long auburn hair, and she clings to her "
298,298,"               own mother's hand, as if the open graves are the mouths of "
299,299,               death and might suck her parents in too.
300,300,                                     PRIEST
