line,sentiment,n,paragraph
621,sadness,1,4
621,trust,1,4
622,anger,1,4
622,anticipation,1,4
622,disgust,1,4
622,fear,2,4
622,sadness,1,4
623,sadness,1,4
625,anticipation,1,4
625,disgust,1,4
625,joy,1,4
625,surprise,1,4
625,trust,1,4
629,anger,1,4
636,disgust,1,4
636,sadness,1,4
637,trust,1,4
638,sadness,1,4
638,trust,1,4
641,joy,1,4
641,trust,1,4
643,joy,1,4
646,fear,2,4
646,sadness,1,4
647,surprise,2,4
647,trust,2,4
651,anger,1,4
651,fear,1,4
654,anticipation,2,4
655,trust,1,4
658,anger,1,4
658,fear,1,4
658,sadness,1,4
658,surprise,1,4
665,disgust,1,4
665,fear,2,4
665,sadness,1,4
666,fear,1,4
666,sadness,1,4
671,anticipation,1,4
671,fear,1,4
671,joy,1,4
671,trust,1,4
678,trust,1,4
679,anger,1,4
679,disgust,1,4
679,fear,2,4
679,sadness,1,4
679,trust,1,4
682,anger,1,4
682,fear,1,4
682,sadness,1,4
686,anger,1,4
686,anticipation,1,4
686,disgust,1,4
700,anticipation,1,4
705,trust,1,4
708,trust,1,4
713,trust,1,4
719,anger,1,4
719,fear,1,4
719,sadness,1,4
720,anticipation,1,4
724,anger,1,4
724,disgust,1,4
724,fear,1,4
724,sadness,1,4
724,surprise,1,4
724,trust,1,4
731,anticipation,1,4
737,trust,1,4
739,anticipation,1,4
741,anticipation,1,4
741,trust,1,4
745,trust,1,4
750,trust,1,4
756,anger,1,4
756,sadness,1,4
761,joy,1,4
761,sadness,1,4
761,trust,1,4
764,anger,1,4
764,disgust,1,4
764,fear,1,4
764,sadness,1,4
764,surprise,1,4
765,anger,1,4
765,disgust,1,4
766,anger,1,4
766,disgust,1,4
766,fear,1,4
766,surprise,1,4
771,trust,1,4
775,joy,1,4
779,disgust,1,4
781,anticipation,1,4
784,anger,1,4
784,disgust,1,4
784,fear,1,4
784,sadness,1,4
787,anger,1,4
787,anticipation,1,4
787,disgust,1,4
787,fear,1,4
787,joy,1,4
787,trust,1,4
788,anger,1,4
788,disgust,1,4
788,fear,1,4
788,sadness,1,4
790,anticipation,1,4
790,joy,1,4
790,trust,1,4
792,sadness,1,4
798,anticipation,1,4
798,joy,1,4
798,trust,3,4
803,trust,2,5
806,fear,1,5
806,sadness,1,5
806,trust,1,5
808,fear,1,5
808,sadness,2,5
810,anticipation,1,5
810,joy,1,5
810,surprise,1,5
816,fear,1,5
817,anger,2,5
826,disgust,1,5
826,sadness,1,5
828,anger,1,5
828,disgust,1,5
828,sadness,1,5
832,disgust,1,5
832,sadness,1,5
840,joy,1,5
840,trust,1,5
841,trust,1,5
846,anticipation,1,5
849,surprise,1,5
850,trust,1,5
856,trust,1,5
857,trust,1,5
860,anticipation,1,5
860,trust,1,5
864,sadness,1,5
866,surprise,1,5
884,sadness,1,5
891,trust,1,5
892,fear,1,5
893,fear,1,5
899,sadness,1,5
902,anticipation,1,5
902,joy,1,5
908,joy,1,5
912,surprise,1,5
913,anger,1,5
913,anticipation,1,5
913,joy,2,5
913,sadness,1,5
913,surprise,1,5
913,trust,1,5
914,trust,1,5
922,anticipation,1,5
922,disgust,1,5
922,joy,1,5
922,surprise,1,5
922,trust,2,5
924,disgust,1,5
924,trust,1,5
925,trust,1,5
927,disgust,1,5
929,joy,1,5
930,anticipation,1,5
935,joy,1,5
938,anticipation,1,5
938,joy,1,5
949,anticipation,1,5
959,anticipation,1,5
959,trust,1,5
960,anticipation,1,5
960,surprise,1,5
963,fear,1,5
965,joy,1,5
967,anger,1,5
967,anticipation,1,5
967,joy,1,5
967,trust,1,5
969,anticipation,2,5
969,disgust,1,5
969,joy,2,5
969,surprise,1,5
969,trust,2,5
979,anticipation,1,5
979,joy,1,5
979,trust,1,5
980,anger,1,5
980,fear,1,5
985,fear,1,5
992,anticipation,1,5
992,joy,1,5
992,sadness,1,5
992,trust,1,5
994,anger,1,5
994,disgust,1,5
994,fear,1,5
994,joy,1,5
994,sadness,1,5
1001,fear,1,6
1001,sadness,1,6
1001,trust,1,6
1002,anger,1,6
1002,anticipation,1,6
1002,fear,1,6
1002,joy,1,6
1002,surprise,1,6
1002,trust,1,6
1003,fear,1,6
1005,fear,1,6
1005,trust,1,6
1011,joy,1,6
1011,trust,1,6
1013,trust,1,6
1016,fear,1,6
1022,sadness,1,6
1023,anger,1,6
1023,disgust,1,6
1023,fear,1,6
1023,sadness,1,6
1024,fear,1,6
1024,sadness,1,6
1027,anticipation,1,6
1027,fear,1,6
1027,joy,1,6
1027,surprise,1,6
1029,joy,1,6
1029,surprise,1,6
1029,trust,1,6
1030,anticipation,1,6
