"","line","sentiment","n","paragraph"
"116",129,"disgust",1,1
"117",129,"fear",2,1
"118",129,"sadness",1,1
"119",130,"anticipation",1,1
"120",130,"joy",1,1
"121",130,"sadness",1,1
"122",130,"trust",1,1
"123",131,"anticipation",1,1
"124",131,"joy",1,1
"125",131,"sadness",1,1
"126",131,"trust",1,1
"127",133,"anger",1,1
"128",133,"fear",1,1
"129",133,"surprise",1,1
"130",136,"anger",1,1
"131",136,"anticipation",1,1
"132",136,"disgust",1,1
"133",136,"fear",1,1
"134",136,"joy",1,1
"135",136,"trust",1,1
"136",142,"fear",1,1
"137",145,"fear",1,1
"138",145,"joy",1,1
"139",145,"sadness",1,1
"140",145,"trust",1,1
"141",147,"anger",1,2
"142",147,"anticipation",1,2
"143",147,"disgust",1,2
"144",147,"fear",1,2
"145",147,"sadness",1,2
"146",150,"fear",1,2
"147",150,"sadness",1,2
"148",157,"anger",1,2
"149",157,"fear",1,2
"150",159,"anger",1,2
"151",159,"fear",1,2
"152",162,"joy",1,2
"153",162,"trust",1,2
"154",163,"joy",2,2
"155",164,"anticipation",1,2
"156",164,"sadness",1,2
"157",165,"anger",1,2
"158",165,"fear",1,2
"159",165,"sadness",1,2
"160",166,"anger",1,2
"161",166,"fear",2,2
"162",166,"sadness",1,2
"163",167,"anticipation",1,2
"164",170,"sadness",1,2
"165",171,"anger",1,2
"166",171,"anticipation",1,2
"167",171,"disgust",1,2
"168",171,"fear",1,2
"169",171,"joy",1,2
"170",171,"sadness",2,2
"171",171,"surprise",1,2
"172",171,"trust",1,2
"173",172,"anger",1,2
"174",172,"fear",1,2
"175",172,"joy",1,2
"176",176,"joy",2,2
"177",176,"trust",1,2
"178",178,"anticipation",1,2
"179",178,"joy",1,2
"180",178,"trust",1,2
"181",180,"sadness",1,2
"182",184,"anticipation",3,2
"183",184,"joy",1,2
"184",184,"trust",1,2
"185",189,"anticipation",1,2
"186",190,"anger",1,2
"187",190,"disgust",1,2
"188",190,"fear",2,2
"189",194,"joy",1,2
"190",204,"anger",1,2
"191",204,"trust",1,2
"192",215,"sadness",1,2
"193",229,"trust",2,2
"194",231,"trust",1,2
"195",234,"anger",1,2
"196",234,"disgust",1,2
"197",234,"fear",1,2
"198",234,"sadness",1,2
"199",235,"anger",1,2
"200",235,"disgust",1,2
"201",235,"fear",1,2
"202",235,"sadness",1,2
"203",236,"anger",1,2
"204",237,"trust",1,2
"205",238,"fear",1,2
"206",245,"anticipation",1,2
"207",247,"anticipation",1,2
"208",247,"joy",1,2
"209",247,"trust",1,2
"210",250,"anticipation",1,2
"211",250,"joy",1,2
"212",250,"trust",1,2
"213",265,"anticipation",1,2
"214",265,"joy",1,2
"215",265,"trust",1,2
"216",266,"anticipation",2,2
"217",266,"joy",2,2
"218",266,"trust",2,2
"219",267,"anticipation",1,2
"220",267,"joy",1,2
"221",267,"trust",1,2
"222",278,"anticipation",1,2
"223",278,"disgust",1,2
"224",278,"fear",1,2
"225",278,"joy",1,2
"226",278,"surprise",1,2
"227",278,"trust",2,2
"228",282,"fear",1,2
"229",290,"anticipation",1,2
"230",293,"disgust",1,3
"231",295,"sadness",1,3
"232",301,"anger",1,3
"233",301,"anticipation",1,3
"234",301,"disgust",1,3
"235",301,"fear",1,3
"236",301,"joy",1,3
"237",301,"sadness",1,3
"238",301,"surprise",1,3
"239",301,"trust",1,3
"240",305,"disgust",1,3
