line,sentiment,n,paragraph
412,anticipation,1,3
412,joy,1,3
412,trust,1,3
415,trust,1,3
417,surprise,1,3
420,fear,1,3
420,sadness,1,3
420,surprise,1,3
424,disgust,1,3
424,fear,1,3
424,trust,1,3
427,disgust,1,3
427,sadness,1,3
429,anger,1,3
429,disgust,1,3
429,fear,1,3
429,surprise,1,3
431,anger,1,3
431,disgust,1,3
431,fear,1,3
431,sadness,1,3
438,fear,1,3
438,sadness,1,3
438,trust,1,3
444,trust,1,3
446,anticipation,1,3
446,joy,1,3
446,surprise,1,3
449,anticipation,1,3
449,joy,1,3
449,trust,1,3
452,anger,1,4
452,fear,1,4
452,sadness,1,4
456,fear,1,4
456,trust,1,4
457,trust,1,4
465,joy,1,4
468,anticipation,1,4
468,trust,1,4
470,anticipation,1,4
470,joy,1,4
470,trust,1,4
472,anticipation,1,4
472,trust,1,4
474,trust,2,4
475,anticipation,1,4
475,fear,1,4
475,joy,1,4
475,sadness,1,4
475,trust,1,4
476,trust,1,4
477,fear,1,4
477,sadness,1,4
486,disgust,1,4
503,anger,1,4
503,disgust,1,4
503,fear,1,4
503,sadness,1,4
522,joy,1,4
523,anticipation,1,4
525,trust,1,4
527,fear,1,4
527,sadness,1,4
530,anger,1,4
530,disgust,1,4
530,fear,1,4
530,sadness,1,4
531,joy,1,4
534,joy,1,4
534,trust,1,4
545,trust,1,4
547,anticipation,1,4
551,trust,1,4
565,joy,1,4
565,trust,1,4
581,anticipation,1,4
581,joy,1,4
581,surprise,2,4
581,trust,1,4
583,anticipation,2,4
583,joy,2,4
583,surprise,2,4
583,trust,1,4
584,fear,1,4
588,anticipation,1,4
588,joy,1,4
588,surprise,1,4
588,trust,1,4
593,joy,1,4
593,surprise,1,4
593,trust,1,4
596,trust,1,4
618,anger,1,5
618,fear,1,5
618,sadness,1,5
624,anger,1,5
625,anticipation,1,5
628,anger,1,5
630,joy,1,5
630,surprise,1,5
632,joy,1,5
632,surprise,1,5
633,anticipation,1,5
633,joy,1,5
633,trust,1,5
635,anger,1,5
635,disgust,1,5
635,fear,1,5
635,sadness,1,5
640,joy,1,5
642,sadness,1,5
647,anticipation,1,5
647,joy,1,5
647,trust,1,5
650,anger,1,5
650,disgust,2,5
650,fear,2,5
650,joy,1,5
650,sadness,1,5
650,trust,1,5
653,joy,1,5
663,joy,1,5
669,anticipation,1,5
672,surprise,1,5
687,fear,1,5
687,trust,1,5
691,anger,2,5
691,anticipation,1,5
691,disgust,2,5
691,fear,2,5
691,sadness,2,5
691,surprise,2,5
695,anger,1,5
695,anticipation,1,5
695,disgust,1,5
695,fear,1,5
695,joy,1,5
