"","line","sentiment","n","paragraph"
"675",1984,"fear",1,8
"676",1984,"trust",1,8
"677",1986,"trust",1,8
"678",1997,"anger",1,8
"679",1997,"fear",1,8
"680",1997,"sadness",1,8
"681",2001,"anger",1,8
"682",2001,"fear",1,8
"683",2001,"sadness",1,8
"684",2003,"anger",1,8
"685",2003,"fear",1,8
"686",2003,"sadness",2,8
"687",2007,"fear",1,8
"688",2007,"sadness",1,8
"689",2007,"trust",1,8
"690",2010,"anticipation",1,8
"691",2010,"joy",1,8
"692",2010,"trust",1,8
"693",2011,"fear",1,8
"694",2017,"trust",1,8
"695",2019,"anger",1,8
"696",2019,"fear",1,8
"697",2019,"sadness",1,8
"698",2039,"anger",1,8
"699",2039,"disgust",1,8
"700",2039,"fear",1,8
"701",2039,"sadness",1,8
"702",2043,"sadness",1,8
"703",2047,"anger",1,8
"704",2047,"disgust",1,8
"705",2047,"fear",1,8
"706",2047,"sadness",1,8
"707",2048,"sadness",1,8
"708",2055,"joy",1,8
"709",2055,"trust",1,8
"710",2060,"anticipation",1,8
"711",2060,"joy",1,8
"712",2060,"surprise",1,8
"713",2065,"joy",1,8
"714",2069,"anticipation",1,8
"715",2069,"joy",1,8
"716",2069,"trust",1,8
"717",2077,"trust",1,8
"718",2081,"trust",2,8
"719",2082,"trust",1,8
"720",2091,"anger",1,8
"721",2091,"sadness",1,8
"722",2103,"fear",1,8
"723",2103,"sadness",1,8
"724",2108,"disgust",1,8
"725",2111,"trust",1,8
"726",2112,"trust",1,8
"727",2122,"joy",1,8
"728",2122,"trust",1,8
"729",2126,"fear",1,8
"730",2126,"sadness",1,8
"731",2126,"trust",1,8
"732",2149,"anger",1,8
"733",2149,"disgust",1,8
"734",2149,"trust",1,8
"735",2205,"anger",1,8
"736",2226,"anticipation",1,8
"737",2226,"trust",1,8
"738",2230,"anger",1,8
"739",2234,"trust",1,8
"740",2250,"anger",1,9
"741",2250,"disgust",1,9
"742",2251,"fear",1,9
"743",2251,"sadness",1,9
"744",2251,"trust",1,9
"745",2264,"anticipation",2,9
"746",2264,"disgust",1,9
"747",2264,"joy",2,9
"748",2264,"sadness",1,9
"749",2264,"surprise",1,9
"750",2264,"trust",2,9
"751",2271,"surprise",1,9
"752",2279,"trust",1,9
"753",2292,"anticipation",1,9
"754",2292,"joy",1,9
"755",2292,"trust",1,9
"756",2293,"surprise",1,9
"757",2303,"anger",1,9
"758",2303,"fear",1,9
"759",2310,"anger",1,9
"760",2310,"fear",1,9
"761",2310,"sadness",1,9
"762",2314,"trust",1,9
"763",2317,"fear",1,9
"764",2317,"sadness",1,9
"765",2317,"surprise",1,9
"766",2320,"surprise",1,9
"767",2329,"anger",1,9
"768",2329,"fear",1,9
"769",2329,"sadness",1,9
"770",2330,"trust",1,9
"771",2334,"surprise",1,9
"772",2338,"surprise",1,9
"773",2342,"anticipation",1,9
"774",2342,"surprise",1,9
"775",2342,"trust",1,9
"776",2347,"anticipation",1,9
"777",2354,"anticipation",1,9
"778",2354,"joy",1,9
"779",2354,"trust",1,9
"780",2358,"fear",1,9
"781",2358,"surprise",1,9
"782",2363,"anticipation",1,9
"783",2363,"joy",1,9
"784",2371,"anger",1,9
"785",2378,"sadness",1,9
"786",2390,"fear",1,9
"787",2391,"joy",1,9
"788",2391,"trust",1,9
"789",2405,"surprise",1,9
"790",2413,"surprise",1,9
"791",2416,"trust",1,9
"792",2418,"disgust",1,9
"793",2419,"disgust",1,9
"794",2419,"trust",1,9
"795",2423,"disgust",1,9
"796",2426,"trust",1,9
"797",2428,"disgust",1,9
"798",2429,"trust",1,9
"799",2496,"anger",1,9
"800",2498,"anger",1,9
"801",2498,"anticipation",1,9
"802",2498,"disgust",1,9
"803",2498,"fear",1,9
"804",2498,"joy",1,9
"805",2498,"trust",1,9
"806",2502,"anticipation",1,9
"807",2502,"fear",1,9
"808",2514,"anger",1,9
"809",2514,"fear",1,9
"810",2514,"sadness",1,9
"811",2515,"surprise",1,9
"812",2519,"surprise",1,9
"813",2528,"disgust",1,9
"814",2540,"surprise",1,10
"815",2549,"anticipation",1,10
"816",2549,"disgust",1,10
"817",2549,"surprise",1,10
"818",2550,"disgust",1,10
"819",2563,"anger",1,10
"820",2563,"disgust",1,10
"821",2563,"fear",1,10
"822",2563,"sadness",1,10
"823",2574,"sadness",1,10
"824",2578,"anger",1,10
"825",2578,"disgust",1,10
"826",2579,"sadness",1,10
"827",2587,"anger",1,10
"828",2587,"disgust",1,10
"829",2591,"anger",1,10
"830",2591,"fear",1,10
"831",2591,"surprise",1,10
"832",2592,"anticipation",1,10
"833",2592,"surprise",1,10
"834",2606,"sadness",1,10
"835",2613,"anger",1,10
"836",2613,"disgust",1,10
"837",2618,"anticipation",1,10
"838",2618,"joy",1,10
"839",2618,"sadness",1,10
"840",2618,"trust",1,10
"841",2622,"sadness",1,10
"842",2623,"fear",1,10
"843",2623,"sadness",1,10
"844",2623,"surprise",1,10
"845",2627,"anticipation",1,10
"846",2627,"fear",1,10
"847",2627,"sadness",1,10
"848",2630,"sadness",1,10
"849",2630,"trust",1,10
"850",2632,"anticipation",1,10
"851",2632,"joy",1,10
"852",2632,"trust",1,10
"853",2648,"trust",1,10
"854",2653,"anger",1,10
"855",2653,"trust",1,10
"856",2659,"joy",1,10
"857",2667,"joy",1,10
"858",2668,"trust",1,10
"859",2669,"anticipation",1,10
"860",2678,"anticipation",1,10
"861",2686,"joy",1,10
"862",2697,"surprise",1,10
"863",2702,"joy",1,10
"864",2703,"anticipation",1,10
"865",2703,"joy",1,10
"866",2703,"sadness",1,10
"867",2703,"surprise",1,10
"868",2709,"trust",1,10
"869",2710,"joy",1,10
"870",2710,"surprise",1,10
"871",2710,"trust",1,10
"872",2731,"fear",1,10
"873",2734,"joy",1,10
"874",2735,"anticipation",1,10
"875",2745,"trust",1,10
"876",2754,"anger",1,10
"877",2754,"fear",1,10
"878",2764,"anticipation",1,10
"879",2764,"joy",1,10
"880",2764,"surprise",1,10
"881",2764,"trust",1,10
"882",2765,"anger",1,10
"883",2765,"disgust",1,10
"884",2765,"fear",1,10
"885",2765,"sadness",1,10
"886",2771,"anger",2,10
"887",2771,"disgust",1,10
"888",2771,"fear",1,10
"889",2771,"sadness",1,10
"890",2771,"surprise",1,10
