line,sentiment,n,paragraph
76,disgust,10,20
76,fear,5,20
76,joy,2,20
76,sadness,8,20
76,surprise,2,20
76,trust,10,20
77,anger,9,20
77,anticipation,3,20
77,disgust,7,20
77,fear,5,20
77,joy,3,20
77,sadness,11,20
77,surprise,1,20
77,trust,2,20
78,anger,2,21
78,anticipation,3,21
78,disgust,8,21
78,fear,3,21
78,joy,1,21
78,sadness,3,21
78,surprise,1,21
78,trust,5,21
79,anger,8,21
79,anticipation,7,21
79,disgust,9,21
79,fear,14,21
79,joy,3,21
79,sadness,8,21
79,surprise,1,21
79,trust,6,21
80,anger,3,21
80,disgust,10,21
80,fear,2,21
80,joy,3,21
80,sadness,5,21
80,surprise,2,21
80,trust,4,21
81,anger,3,21
81,anticipation,2,21
81,disgust,4,21
81,fear,5,21
81,sadness,4,21
81,surprise,1,21
81,trust,2,21
82,anger,3,22
82,anticipation,3,22
82,disgust,6,22
82,fear,4,22
82,joy,1,22
82,sadness,6,22
82,surprise,2,22
82,trust,2,22
83,anticipation,2,22
83,disgust,4,22
83,fear,4,22
83,joy,2,22
83,sadness,2,22
83,surprise,4,22
83,trust,1,22
84,anger,5,22
84,anticipation,3,22
84,disgust,4,22
84,fear,5,22
84,sadness,6,22
84,surprise,3,22
85,anger,2,22
85,anticipation,1,22
85,disgust,2,22
85,fear,1,22
85,sadness,2,22
85,surprise,1,22
86,anger,6,23
86,anticipation,6,23
86,disgust,3,23
86,fear,11,23
86,joy,8,23
86,sadness,10,23
86,surprise,3,23
86,trust,8,23
87,anger,5,23
87,anticipation,4,23
87,disgust,5,23
87,fear,1,23
87,joy,3,23
87,sadness,6,23
87,surprise,4,23
87,trust,4,23
88,anger,2,23
88,anticipation,2,23
88,disgust,2,23
88,fear,1,23
88,joy,1,23
88,sadness,1,23
88,trust,2,23
89,anger,2,23
89,disgust,1,23
89,trust,1,23
90,anticipation,2,24
90,disgust,1,24
90,fear,1,24
90,joy,2,24
90,sadness,4,24
90,surprise,1,24
90,trust,4,24
91,anger,4,24
91,anticipation,3,24
91,disgust,1,24
91,fear,1,24
91,joy,1,24
91,sadness,2,24
91,surprise,1,24
91,trust,3,24
92,anger,4,24
92,anticipation,5,24
92,disgust,1,24
92,fear,2,24
92,joy,4,24
92,sadness,2,24
92,surprise,3,24
92,trust,5,24
93,anger,5,24
93,anticipation,5,24
93,disgust,3,24
93,fear,5,24
93,joy,5,24
93,sadness,4,24
93,surprise,5,24
93,trust,4,24
94,anger,3,25
94,disgust,8,25
94,fear,6,25
94,joy,1,25
94,sadness,5,25
94,surprise,1,25
94,trust,3,25
95,anger,1,25
95,anticipation,7,25
95,disgust,5,25
95,fear,3,25
95,joy,4,25
95,sadness,3,25
95,surprise,3,25
95,trust,9,25
96,anger,2,25
96,anticipation,2,25
96,disgust,3,25
96,fear,7,25
96,joy,2,25
96,sadness,6,25
96,surprise,4,25
96,trust,9,25
97,anger,4,25
97,anticipation,4,25
97,disgust,9,25
97,fear,6,25
