line,sentiment,n,paragraph
1102,sadness,1,6
1137,trust,1,6
1139,anticipation,1,6
1147,trust,1,6
1152,anger,1,6
1152,disgust,1,6
1152,fear,1,6
1152,sadness,1,6
1152,surprise,2,6
1154,anger,1,6
1154,disgust,1,6
1155,anger,1,6
1155,disgust,1,6
1155,fear,1,6
1155,sadness,1,6
1160,trust,1,6
1162,disgust,2,6
1162,fear,1,6
1162,sadness,1,6
1165,anger,1,6
1165,fear,1,6
1173,anticipation,1,6
1173,trust,1,6
1180,anticipation,1,6
1185,anger,1,6
1185,anticipation,1,6
1185,disgust,1,6
1185,fear,1,6
1185,joy,1,6
1185,sadness,1,6
1185,surprise,1,6
1185,trust,1,6
1186,joy,1,6
1188,anger,1,6
1188,disgust,1,6
1197,anticipation,1,6
1197,fear,1,6
1198,anger,1,6
1198,disgust,1,6
1205,trust,1,6
1214,trust,1,6
1215,anger,1,6
1215,fear,1,6
1216,fear,1,6
1216,surprise,1,6
1216,trust,1,6
1218,disgust,1,6
1221,anger,1,6
1221,fear,1,6
1221,sadness,1,6
1224,anger,1,6
1227,anger,1,6
1227,joy,1,6
1228,anger,1,6
1228,disgust,1,6
1228,fear,1,6
1228,sadness,1,6
1228,surprise,1,6
1232,anger,1,6
1232,joy,1,6
1236,anger,1,6
1238,anger,1,6
1238,anticipation,1,6
1238,disgust,1,6
1238,fear,1,6
1238,sadness,1,6
1241,anticipation,1,6
1241,joy,1,6
1241,trust,1,6
1242,anticipation,1,6
1242,disgust,1,6
1242,fear,1,6
1242,joy,1,6
1242,sadness,1,6
1242,surprise,1,6
1242,trust,1,6
1251,trust,1,6
1255,anticipation,1,6
1255,joy,1,6
1255,surprise,1,6
1255,trust,1,6
1256,anticipation,1,6
1256,joy,1,6
1256,surprise,1,6
1256,trust,2,6
1264,anticipation,1,7
1264,joy,2,7
1264,trust,1,7
1269,anger,1,7
1269,fear,1,7
1275,anger,1,7
1275,disgust,1,7
1275,fear,1,7
1275,joy,1,7
1275,sadness,2,7
1275,surprise,1,7
1277,surprise,1,7
1278,anger,1,7
1278,disgust,1,7
1279,anger,1,7
1279,fear,1,7
1279,trust,1,7
1285,anger,1,7
1285,anticipation,1,7
1285,joy,1,7
1285,surprise,1,7
1285,trust,1,7
1289,joy,1,7
1289,sadness,1,7
1292,joy,1,7
1292,sadness,1,7
1294,anger,2,7
1296,joy,1,7
1300,trust,1,7
1304,sadness,1,7
1306,joy,1,7
1306,sadness,1,7
1308,sadness,1,7
1310,anticipation,1,7
1310,joy,1,7
1310,sadness,1,7
1310,surprise,1,7
1312,anticipation,1,7
1312,joy,1,7
1312,sadness,1,7
1312,surprise,1,7
1317,anticipation,1,7
1317,joy,1,7
1317,sadness,1,7
1317,surprise,1,7
1318,anticipation,1,7
1318,trust,1,7
1320,sadness,1,7
1321,sadness,1,7
1324,fear,1,7
1326,sadness,2,7
1327,anticipation,1,7
1327,joy,1,7
1335,trust,1,7
1336,trust,1,7
1339,anger,1,7
1339,anticipation,1,7
1339,disgust,1,7
1339,fear,1,7
1339,joy,1,7
1339,trust,1,7
1340,surprise,1,7
1341,trust,1,7
1343,anger,1,7
1343,fear,1,7
1343,trust,1,7
1349,disgust,1,7
1350,anger,1,7
1350,disgust,1,7
1350,fear,1,7
1350,sadness,1,7
1350,trust,1,7
1352,anger,1,7
1352,anticipation,1,7
1352,joy,1,7
1352,trust,1,7
1353,anger,1,7
1353,fear,1,7
1358,joy,1,7
1358,surprise,1,7
1358,trust,1,7
1364,anticipation,1,7
1365,anticipation,1,7
1365,disgust,1,7
1365,fear,1,7
1365,joy,1,7
1365,sadness,1,7
1365,surprise,1,7
1365,trust,1,7
1376,anticipation,1,7
1376,joy,1,7
1376,sadness,1,7
1376,surprise,1,7
1377,fear,1,7
1382,joy,1,7
1382,trust,1,7
1388,fear,1,7
1388,sadness,1,7
1393,anticipation,1,7
1396,disgust,1,7
1398,trust,1,7
1402,anger,1,7
1404,anticipation,1,7
1404,joy,1,7
1404,trust,1,7
1410,anger,1,7
1410,anticipation,1,7
1410,joy,1,7
1410,surprise,1,7
1410,trust,1,7
1411,surprise,1,7
1416,anger,1,7
1416,fear,1,7
1428,anger,1,7
1428,fear,1,7
1428,sadness,1,7
1432,anticipation,1,7
1432,disgust,1,7
1432,joy,1,7
1432,surprise,1,7
1432,trust,1,7
1436,fear,1,7
1436,trust,1,7
1440,surprise,1,7
1444,anger,1,7
1444,disgust,1,7
1444,sadness,1,7
1455,anger,1,7
1455,disgust,1,7
1455,fear,1,7
1455,sadness,1,7
1455,surprise,1,7
1456,anticipation,1,7
1456,trust,1,7
1457,anger,1,7
1457,disgust,1,7
1457,fear,1,7
1457,sadness,1,7
1458,trust,1,7
1465,anger,1,7
1465,disgust,1,7
1465,fear,1,7
1465,sadness,1,7
1472,anticipation,1,8
1473,anger,1,8
1474,anticipation,1,8
1474,joy,1,8
1474,sadness,1,8
1474,surprise,1,8
1483,anticipation,1,8
1483,joy,1,8
1483,trust,1,8
1486,disgust,1,8
1494,surprise,2,8
1495,disgust,1,8
1495,fear,1,8
1495,sadness,1,8
1498,joy,1,8
1498,surprise,1,8
1498,trust,1,8
1500,trust,1,8
1503,disgust,1,8
1503,fear,1,8
1506,anger,1,8
1506,disgust,1,8
1506,fear,1,8
1506,sadness,1,8
1511,anger,1,8
1511,disgust,2,8
1513,anger,1,8
1513,anticipation,1,8
1513,disgust,1,8
1513,fear,1,8
1513,joy,1,8
1514,anger,1,8
1514,disgust,1,8
1514,fear,1,8
1514,sadness,1,8
1516,joy,1,8
1516,trust,2,8
1517,anticipation,1,8
1517,trust,1,8
1523,anger,1,8
1523,disgust,1,8
1523,fear,1,8
1523,sadness,1,8
1531,trust,1,8
1532,trust,1,8
1533,anger,1,8
1533,disgust,1,8
1533,fear,1,8
1533,sadness,1,8
1535,anticipation,1,8
1535,joy,1,8
1535,trust,1,8
1536,anticipation,1,8
1536,disgust,1,8
1537,anger,1,8
1537,fear,1,8
1537,sadness,1,8
1538,disgust,1,8
1541,anticipation,1,8
1541,fear,1,8
1544,anger,1,8
1544,disgust,1,8
1544,fear,1,8
1544,sadness,1,8
1545,disgust,1,8
1546,disgust,1,8
1548,trust,1,8
1549,disgust,1,8
1549,trust,1,8
1550,anticipation,1,8
1550,disgust,1,8
1550,fear,1,8
1555,disgust,1,8
1556,anger,1,8
