"","line","sentiment","n","paragraph"
"941",2829,"anticipation",1,15
"942",2829,"joy",1,15
"943",2829,"surprise",1,15
"944",2829,"trust",1,15
"945",2854,"joy",1,15
"946",2860,"anger",1,15
"947",2861,"fear",1,15
"948",2863,"surprise",1,15
"949",2864,"fear",1,15
"950",2864,"joy",1,15
"951",2864,"trust",1,15
"952",2874,"joy",1,15
"953",2883,"fear",1,15
"954",2886,"anticipation",1,15
"955",2886,"fear",1,15
"956",2886,"joy",1,15
"957",2886,"trust",1,15
"958",2888,"trust",1,15
"959",2898,"anticipation",1,15
"960",2898,"trust",1,15
"961",2899,"anticipation",1,15
"962",2899,"fear",1,15
"963",2901,"anticipation",1,15
"964",2901,"joy",1,15
"965",2901,"surprise",1,15
"966",2901,"trust",1,15
"967",2904,"anticipation",1,15
"968",2904,"joy",1,15
"969",2904,"trust",1,15
"970",2933,"trust",1,16
"971",2938,"anticipation",1,16
"972",2938,"fear",1,16
"973",2938,"joy",1,16
"974",2938,"surprise",1,16
"975",2938,"trust",1,16
"976",2955,"anger",1,16
"977",2955,"disgust",1,16
"978",2955,"fear",1,16
"979",2955,"sadness",1,16
"980",2958,"anger",1,16
"981",2958,"fear",1,16
"982",2958,"sadness",2,16
"983",2965,"trust",1,16
"984",2967,"anger",1,16
"985",2967,"disgust",1,16
"986",2973,"anger",1,16
"987",2973,"fear",1,16
"988",2985,"anticipation",1,16
"989",2987,"surprise",1,16
"990",2994,"anger",1,16
"991",3026,"anger",1,16
"992",3026,"anticipation",1,16
"993",3026,"fear",1,16
"994",3036,"anger",1,16
"995",3036,"disgust",1,16
"996",3036,"fear",1,16
"997",3036,"sadness",1,16
"998",3036,"surprise",1,16
"999",3036,"trust",1,16
"1000",3039,"fear",1,16
"1001",3039,"surprise",1,16
"1002",3044,"anger",1,16
"1003",3044,"fear",1,16
"1004",3044,"surprise",1,16
"1005",3068,"anger",1,16
"1006",3071,"anticipation",1,16
"1007",3074,"anticipation",1,16
"1008",3078,"anticipation",1,16
"1009",3081,"anticipation",1,16
"1010",3081,"trust",1,16
"1011",3088,"trust",1,16
"1012",3100,"joy",1,16
"1013",3103,"sadness",1,16
"1014",3103,"surprise",1,16
"1015",3115,"trust",1,16
"1016",3127,"anger",1,17
"1017",3127,"anticipation",1,17
"1018",3128,"disgust",1,17
"1019",3131,"anticipation",1,17
"1020",3131,"joy",1,17
"1021",3131,"trust",1,17
"1022",3133,"joy",1,17
"1023",3143,"fear",1,17
"1024",3147,"sadness",1,17
"1025",3159,"disgust",1,17
"1026",3161,"anger",1,17
"1027",3161,"disgust",1,17
"1028",3161,"fear",1,17
"1029",3161,"sadness",1,17
"1030",3168,"anger",1,17
"1031",3168,"anticipation",1,17
"1032",3168,"disgust",1,17
"1033",3170,"joy",1,17
"1034",3170,"surprise",1,17
"1035",3192,"anger",1,17
"1036",3192,"disgust",1,17
"1037",3192,"fear",1,17
"1038",3192,"surprise",1,17
"1039",3196,"trust",1,17
"1040",3198,"anticipation",2,17
