"","line","sentiment","n","paragraph"
"276",791,"trust",1,5
"277",792,"anticipation",1,5
"278",792,"surprise",1,5
"279",794,"anticipation",1,5
"280",794,"surprise",1,5
"281",821,"anger",1,5
"282",821,"sadness",1,5
"283",830,"anticipation",1,6
"284",833,"anticipation",1,6
"285",834,"anticipation",1,6
"286",834,"joy",1,6
"287",834,"surprise",1,6
"288",834,"trust",1,6
"289",835,"trust",1,6
"290",843,"anger",1,6
"291",843,"anticipation",2,6
"292",843,"joy",1,6
"293",843,"sadness",1,6
"294",843,"surprise",1,6
"295",843,"trust",1,6
"296",844,"disgust",1,6
"297",847,"anger",1,6
"298",858,"anticipation",1,6
"299",865,"joy",1,6
"300",870,"joy",1,6
"301",873,"disgust",1,6
"302",883,"anger",1,6
"303",883,"disgust",1,6
"304",883,"trust",1,6
"305",887,"trust",1,6
"306",890,"joy",1,6
"307",890,"trust",1,6
"308",916,"anticipation",2,6
"309",916,"joy",2,6
"310",916,"surprise",1,6
"311",916,"trust",1,6
"312",918,"disgust",1,6
"313",919,"anticipation",1,6
"314",919,"joy",1,6
"315",919,"surprise",1,6
"316",919,"trust",1,6
"317",920,"fear",1,6
"318",920,"sadness",1,6
"319",920,"surprise",1,6
"320",922,"anticipation",1,6
"321",922,"fear",1,6
"322",927,"anticipation",1,6
"323",941,"joy",1,6
"324",941,"surprise",2,6
"325",941,"trust",1,6
"326",952,"fear",1,6
"327",959,"anger",1,6
"328",966,"surprise",1,6
"329",966,"trust",1,6
"330",977,"trust",1,6
"331",978,"anger",1,6
"332",979,"anger",1,6
"333",979,"anticipation",1,6
"334",979,"disgust",1,6
"335",979,"fear",1,6
"336",979,"joy",1,6
"337",979,"trust",1,6
"338",983,"trust",1,6
"339",985,"disgust",1,6
"340",985,"trust",1,6
"341",986,"trust",1,6
"342",989,"joy",1,6
"343",989,"trust",1,6
"344",990,"joy",1,7
"345",990,"trust",1,7
"346",1005,"fear",1,7
"347",1008,"trust",1,7
"348",1017,"sadness",1,7
"349",1021,"sadness",1,7
"350",1023,"fear",1,7
"351",1023,"surprise",1,7
"352",1036,"sadness",1,7
"353",1047,"sadness",1,7
"354",1050,"trust",2,7
"355",1057,"anticipation",1,7
"356",1064,"disgust",1,7
"357",1068,"anticipation",1,7
"358",1068,"disgust",1,7
"359",1068,"fear",1,7
"360",1073,"sadness",1,7
"361",1073,"surprise",1,7
"362",1078,"anticipation",1,7
"363",1078,"fear",1,7
"364",1095,"anger",1,7
"365",1105,"anger",1,7
"366",1109,"anger",1,7
"367",1109,"anticipation",2,7
"368",1109,"joy",2,7
"369",1109,"surprise",2,7
"370",1109,"trust",1,7
"371",1111,"anger",1,7
"372",1111,"disgust",1,7
"373",1139,"anger",1,7
"374",1145,"anticipation",1,7
"375",1153,"anticipation",1,7
"376",1160,"trust",1,8
"377",1162,"surprise",1,8
"378",1163,"sadness",1,8
"379",1167,"anticipation",1,8
"380",1167,"joy",1,8
"381",1167,"trust",1,8
"382",1171,"anger",1,8
"383",1171,"disgust",1,8
"384",1171,"fear",1,8
"385",1171,"sadness",1,8
"386",1175,"anticipation",1,8
"387",1175,"joy",1,8
"388",1175,"trust",1,8
"389",1190,"disgust",1,8
"390",1190,"fear",1,8
"391",1193,"disgust",1,8
"392",1193,"fear",1,8
"393",1207,"sadness",1,8
"394",1209,"fear",1,8
"395",1215,"anticipation",1,8
"396",1221,"anticipation",1,8
"397",1235,"disgust",1,8
"398",1237,"anger",1,8
"399",1237,"disgust",1,8
"400",1239,"surprise",1,8
"401",1243,"trust",1,8
"402",1253,"joy",1,8
"403",1253,"trust",1,8
"404",1254,"fear",1,8
"405",1254,"sadness",1,8
"406",1254,"surprise",1,8
"407",1265,"surprise",1,8
"408",1278,"anticipation",1,8
"409",1282,"anticipation",1,8
"410",1293,"anger",1,8
"411",1293,"surprise",1,8
"412",1295,"anger",1,8
"413",1295,"fear",1,8
"414",1295,"sadness",1,8
"415",1296,"disgust",1,8
"416",1297,"disgust",2,8
"417",1305,"anger",1,8
"418",1305,"disgust",1,8
"419",1305,"fear",1,8
"420",1305,"sadness",1,8
"421",1307,"disgust",1,8
"422",1326,"anger",1,9
"423",1326,"anticipation",1,9
"424",1326,"joy",1,9
"425",1326,"surprise",1,9
"426",1326,"trust",1,9
"427",1328,"anger",1,9
"428",1328,"fear",1,9
"429",1334,"anger",1,9
"430",1334,"sadness",1,9
"431",1335,"anger",1,9
"432",1335,"sadness",1,9
"433",1337,"anger",1,9
"434",1337,"sadness",1,9
"435",1345,"anticipation",1,9
"436",1346,"joy",1,9
"437",1347,"anger",1,9
"438",1347,"anticipation",1,9
"439",1347,"fear",1,9
"440",1347,"surprise",1,9
"441",1354,"fear",1,9
"442",1354,"surprise",1,9
"443",1355,"anger",1,9
"444",1355,"fear",1,9
"445",1357,"anticipation",1,9
"446",1357,"joy",1,9
"447",1357,"surprise",1,9
"448",1357,"trust",1,9
"449",1361,"sadness",1,9
"450",1372,"anger",1,9
"451",1372,"sadness",1,9
"452",1383,"anger",1,9
"453",1383,"fear",1,9
"454",1383,"surprise",1,9
"455",1384,"anger",1,9
"456",1384,"sadness",1,9
"457",1384,"trust",1,9
"458",1386,"anticipation",1,9
"459",1386,"joy",1,9
"460",1386,"trust",1,9
"461",1387,"anticipation",1,9
"462",1401,"anticipation",1,9
"463",1402,"sadness",1,9
"464",1427,"sadness",1,9
"465",1431,"trust",1,9
"466",1438,"disgust",1,9
"467",1440,"trust",1,9
"468",1449,"trust",1,9
"469",1450,"trust",1,9
"470",1451,"anger",2,9
"471",1451,"fear",2,9
"472",1452,"anticipation",1,9
"473",1452,"fear",1,9
"474",1454,"anticipation",1,9
"475",1455,"anger",1,9
"476",1455,"fear",1,9
"477",1458,"anger",2,9
"478",1458,"fear",1,9
"479",1458,"sadness",1,9
"480",1458,"trust",1,9
"481",1468,"anger",1,9
"482",1468,"disgust",1,9
"483",1468,"fear",1,9
"484",1468,"sadness",1,9
"485",1468,"surprise",1,9
"486",1469,"anger",1,9
"487",1469,"disgust",1,9
"488",1469,"fear",1,9
"489",1469,"sadness",1,9
"490",1469,"surprise",1,9
"491",1473,"anger",1,9
"492",1473,"disgust",1,9
"493",1476,"anger",1,9
"494",1476,"fear",1,9
"495",1476,"trust",1,9
"496",1487,"surprise",1,10
"497",1493,"anger",1,10
"498",1493,"disgust",1,10
"499",1493,"fear",1,10
"500",1493,"sadness",1,10
"501",1494,"trust",1,10
"502",1495,"anger",2,10
"503",1495,"fear",1,10
"504",1495,"sadness",1,10
"505",1496,"trust",1,10
"506",1497,"anger",1,10
"507",1497,"sadness",1,10
"508",1498,"trust",1,10
"509",1502,"anticipation",1,10
"510",1505,"anticipation",1,10
"511",1508,"anticipation",1,10
"512",1517,"anticipation",1,10
"513",1522,"trust",1,10
"514",1523,"sadness",1,10
"515",1526,"anticipation",1,10
