"","line","sentiment","n","paragraph"
"1772",2971,"anger",1,20
"1773",2971,"fear",1,20
"1774",2971,"trust",1,20
"1775",2974,"disgust",1,20
"1776",2976,"trust",1,20
"1777",2979,"anger",1,20
"1778",2979,"fear",1,20
"1779",2980,"joy",1,20
"1780",2980,"surprise",1,20
"1781",2980,"trust",1,20
"1782",2982,"trust",1,20
"1783",2994,"trust",1,20
"1784",3003,"anger",1,21
"1785",3003,"anticipation",1,21
"1786",3003,"disgust",1,21
"1787",3003,"fear",1,21
"1788",3003,"joy",1,21
"1789",3003,"sadness",1,21
"1790",3003,"surprise",1,21
"1791",3003,"trust",2,21
"1792",3004,"trust",1,21
"1793",3009,"anger",1,21
"1794",3009,"disgust",1,21
"1795",3009,"fear",1,21
"1796",3009,"sadness",1,21
"1797",3010,"trust",1,21
"1798",3012,"trust",1,21
"1799",3014,"fear",1,21
"1800",3014,"sadness",1,21
"1801",3016,"fear",1,21
"1802",3016,"sadness",1,21
"1803",3017,"fear",1,21
"1804",3017,"sadness",1,21
"1805",3019,"anticipation",1,21
"1806",3023,"trust",1,21
"1807",3027,"anticipation",1,21
"1808",3028,"trust",1,21
"1809",3029,"anger",1,21
"1810",3029,"disgust",1,21
"1811",3034,"anger",1,21
"1812",3034,"anticipation",1,21
"1813",3034,"disgust",1,21
"1814",3034,"fear",1,21
"1815",3034,"sadness",1,21
"1816",3041,"anger",1,21
"1817",3041,"anticipation",2,21
"1818",3041,"disgust",1,21
"1819",3041,"fear",1,21
"1820",3041,"joy",1,21
"1821",3041,"sadness",1,21
"1822",3044,"anticipation",1,21
"1823",3047,"trust",1,21
"1824",3052,"anticipation",1,21
"1825",3052,"trust",1,21
"1826",3057,"trust",1,21
"1827",3058,"anticipation",1,21
"1828",3058,"joy",1,21
"1829",3058,"trust",1,21
"1830",3059,"joy",1,21
"1831",3063,"anticipation",1,21
"1832",3063,"joy",1,21
"1833",3063,"trust",1,21
"1834",3066,"anger",1,21
"1835",3066,"disgust",1,21
"1836",3066,"fear",1,21
"1837",3066,"sadness",1,21
"1838",3079,"trust",1,21
"1839",3085,"joy",1,21
"1840",3089,"trust",1,21
"1841",3091,"anger",1,21
"1842",3091,"trust",1,21
"1843",3093,"joy",1,21
"1844",3094,"surprise",1,21
"1845",3098,"trust",1,21
"1846",3100,"trust",1,21
"1847",3102,"anticipation",1,21
"1848",3102,"surprise",1,21
"1849",3112,"fear",1,21
"1850",3112,"surprise",1,21
"1851",3114,"anticipation",1,21
"1852",3114,"fear",1,21
"1853",3120,"fear",2,21
"1854",3121,"anger",1,21
"1855",3121,"fear",1,21
"1856",3125,"disgust",1,21
"1857",3127,"anticipation",1,21
"1858",3130,"anticipation",1,21
"1859",3130,"surprise",1,21
"1860",3133,"anticipation",2,21
"1861",3134,"fear",1,21
"1862",3142,"anger",1,21
"1863",3142,"anticipation",1,21
"1864",3142,"disgust",1,21
"1865",3142,"sadness",1,21
"1866",3143,"anticipation",1,21
"1867",3143,"trust",1,21
"1868",3145,"anticipation",1,21
"1869",3145,"fear",1,21
"1870",3145,"trust",1,21
"1871",3153,"surprise",1,22
"1872",3157,"anticipation",1,22
"1873",3158,"anger",1,22
"1874",3160,"fear",1,22
"1875",3160,"trust",1,22
"1876",3161,"anger",1,22
"1877",3167,"anticipation",1,22
"1878",3170,"anticipation",1,22
"1879",3170,"joy",1,22
"1880",3170,"surprise",1,22
"1881",3170,"trust",1,22
"1882",3174,"anticipation",1,22
"1883",3174,"fear",1,22
"1884",3175,"anger",1,22
"1885",3175,"disgust",1,22
"1886",3175,"fear",1,22
"1887",3176,"trust",1,22
"1888",3182,"anger",1,22
"1889",3182,"fear",1,22
"1890",3182,"trust",1,22
"1891",3183,"fear",2,22
"1892",3183,"trust",1,22
"1893",3188,"anticipation",1,22
"1894",3188,"joy",1,22
"1895",3188,"trust",1,22
"1896",3193,"fear",1,22
"1897",3194,"anger",2,22
"1898",3194,"disgust",2,22
"1899",3194,"fear",3,22
"1900",3194,"sadness",2,22
"1901",3194,"surprise",1,22
"1902",3197,"anticipation",1,22
"1903",3198,"fear",1,22
"1904",3198,"trust",1,22
"1905",3199,"disgust",1,22
"1906",3201,"surprise",1,22
"1907",3201,"trust",1,22
"1908",3204,"trust",2,22
"1909",3207,"trust",1,22
"1910",3208,"fear",1,22
"1911",3210,"anger",2,22
"1912",3210,"disgust",1,22
"1913",3210,"fear",1,22
"1914",3210,"sadness",1,22
"1915",3210,"surprise",1,22
"1916",3211,"trust",1,22
"1917",3215,"fear",1,22
"1918",3215,"trust",1,22
"1919",3219,"anger",1,22
"1920",3219,"disgust",1,22
"1921",3219,"fear",1,22
"1922",3219,"sadness",1,22
"1923",3221,"anticipation",1,22
