"","line","sentiment","n","paragraph"
"255",305,"surprise",1,3
"256",309,"anticipation",1,3
"257",309,"joy",1,3
"258",309,"sadness",1,3
"259",309,"trust",2,3
"260",314,"anticipation",1,3
"261",315,"anticipation",1,3
"262",319,"disgust",1,3
"263",329,"anticipation",1,3
"264",329,"surprise",1,3
"265",329,"trust",1,3
"266",330,"anger",1,3
"267",330,"disgust",1,3
"268",330,"trust",1,3
"269",333,"surprise",1,3
"270",339,"joy",1,3
"271",341,"disgust",1,3
"272",342,"joy",1,3
"273",344,"anger",1,3
"274",353,"sadness",1,3
"275",354,"anticipation",1,3
"276",355,"trust",2,3
"277",356,"fear",1,3
"278",356,"surprise",1,3
"279",359,"trust",1,3
"280",360,"fear",1,3
"281",360,"sadness",1,3
"282",364,"trust",1,3
"283",365,"fear",1,3
"284",365,"sadness",1,3
"285",372,"disgust",1,3
"286",377,"trust",1,3
"287",378,"anger",1,3
"288",378,"anticipation",1,3
"289",378,"fear",1,3
"290",380,"anger",2,3
"291",380,"anticipation",1,3
"292",380,"fear",2,3
"293",380,"joy",1,3
"294",380,"trust",1,3
"295",381,"trust",1,3
"296",382,"anger",1,3
"297",382,"anticipation",1,3
"298",382,"fear",1,3
"299",382,"joy",1,3
"300",382,"trust",1,3
"301",384,"trust",1,3
"302",397,"anger",1,3
"303",397,"disgust",1,3
"304",397,"fear",1,3
"305",397,"sadness",1,3
"306",398,"trust",1,3
"307",401,"anger",1,3
"308",401,"fear",1,3
"309",401,"joy",1,3
"310",401,"sadness",1,3
"311",401,"trust",1,3
"312",405,"anticipation",1,3
"313",405,"trust",1,3
"314",407,"disgust",1,3
"315",409,"trust",1,3
"316",410,"anticipation",1,3
"317",410,"trust",1,3
"318",414,"anticipation",1,3
"319",417,"trust",1,3
"320",418,"anticipation",1,3
"321",418,"trust",1,3
"322",421,"anger",1,3
"323",421,"fear",1,3
"324",421,"surprise",1,3
"325",422,"trust",1,3
"326",424,"trust",1,3
"327",425,"anticipation",1,3
"328",425,"trust",1,3
"329",427,"anger",1,3
