line,sentiment,n,paragraph
469,joy,1,3
469,sadness,1,3
469,trust,1,3
470,trust,2,3
479,joy,1,3
479,trust,1,3
480,trust,1,3
488,surprise,1,3
492,trust,1,3
501,disgust,1,3
501,fear,1,3
501,trust,1,3
506,trust,1,3
515,anger,2,3
515,anticipation,1,3
515,disgust,2,3
515,fear,2,3
515,joy,1,3
515,sadness,2,3
515,surprise,1,3
515,trust,1,3
520,anticipation,1,3
520,joy,1,3
520,surprise,1,3
520,trust,1,3
527,anticipation,1,3
527,joy,1,3
527,surprise,1,3
527,trust,1,3
532,anger,1,3
532,anticipation,1,3
532,joy,1,3
532,surprise,1,3
532,trust,1,3
547,surprise,1,3
548,sadness,1,3
556,anticipation,1,3
556,trust,1,3
557,anger,1,3
557,anticipation,1,3
558,surprise,1,3
560,anger,1,3
560,anticipation,1,3
560,joy,1,3
560,surprise,1,3
560,trust,1,3
567,trust,1,3
568,trust,1,3
584,anger,1,3
584,fear,1,3
585,anger,1,3
585,sadness,1,3
597,anticipation,1,3
597,joy,1,3
601,anger,1,4
601,disgust,1,4
601,fear,1,4
601,sadness,1,4
601,surprise,1,4
601,trust,1,4
606,anger,1,4
606,fear,1,4
607,anticipation,1,4
608,sadness,1,4
615,anger,1,4
615,fear,1,4
615,sadness,1,4
617,anger,1,4
617,disgust,1,4
617,sadness,1,4
618,anger,2,4
618,fear,2,4
618,sadness,1,4
618,surprise,2,4
629,anticipation,1,4
637,disgust,1,4
637,sadness,1,4
637,trust,1,4
638,sadness,1,4
639,disgust,1,4
639,sadness,1,4
641,anticipation,1,4
641,fear,2,4
641,sadness,1,4
644,disgust,1,4
644,sadness,1,4
646,disgust,1,4
646,sadness,1,4
646,trust,1,4
650,disgust,1,4
650,sadness,1,4
650,trust,1,4
653,anticipation,1,4
653,joy,1,4
653,surprise,1,4
653,trust,1,4
654,anticipation,1,4
654,fear,1,4
658,anger,1,4
658,fear,1,4
658,sadness,1,4
659,anticipation,1,4
662,anger,1,4
662,fear,1,4
665,anticipation,1,4
665,joy,1,4
665,surprise,1,4
665,trust,2,4
666,anticipation,1,4
666,joy,1,4
666,surprise,1,4
666,trust,1,4
667,disgust,1,4
667,sadness,1,4
667,trust,1,4
671,anticipation,1,4
672,trust,1,4
673,sadness,1,4
676,anticipation,1,4
676,joy,1,4
676,surprise,1,4
676,trust,1,4
679,anticipation,1,4
679,joy,1,4
679,surprise,1,4
679,trust,1,4
680,anticipation,1,4
681,surprise,1,4
681,trust,1,4
684,anticipation,1,4
684,joy,1,4
684,surprise,1,4
684,trust,1,4
694,anticipation,1,4
701,fear,2,4
701,sadness,1,4
701,surprise,1,4
715,joy,1,4
715,trust,1,4
717,trust,1,4
718,anger,1,4
718,fear,1,4
718,sadness,1,4
731,joy,1,4
731,surprise,1,4
731,trust,1,4
742,anticipation,1,4
743,anticipation,1,4
746,anticipation,1,4
752,anticipation,1,4
753,fear,1,4
763,sadness,1,4
763,trust,1,4
768,anticipation,1,4
768,surprise,1,4
